Month,Year,Country,Departures,Arrivals
Sep,2022,  Oceania,255185.0,241033.0
Sep,2022,  Europe,180921.0,178603.0
Sep,2022,    France,18484.0,17955.0
Sep,2022,    Germany,43123.0,42644.0
Sep,2022,    United Kingdom,50611.0,48256.0
Sep,2022,  North America,50995.0,44695.0
Sep,2022,  Other Regions,7289.0,7314.0
Aug,2022,  South East Asia,725935.0,783387.0
Aug,2022,    Indonesia,165971.0,173840.0
Aug,2022,    Malaysia,179201.0,202616.0
Aug,2022,    Philippines,96783.0,103356.0
Aug,2022,    Thailand,160388.0,162275.0
Aug,2022,    Vietnam,87279.0,102171.0
Aug,2022,  North East Asia,132911.0,140480.0
Aug,2022,    Mainland China,8324.0,14540.0
Aug,2022,    Hong Kong,13803.0,16063.0
Aug,2022,    Japan,43511.0,45373.0
Aug,2022,  South Asia,187576.0,224590.0
Aug,2022,  Middle East,68221.0,64417.0
Aug,2022,  Oceania,254450.0,224325.0
Aug,2022,  Europe,177182.0,179476.0
Aug,2022,    France,17416.0,17072.0
Aug,2022,    Germany,42430.0,43953.0
Aug,2022,    United Kingdom,47953.0,48141.0
Aug,2022,  North America,58395.0,44754.0
Aug,2022,  Other Regions,7004.0,7377.0
Jul,2022,  South East Asia,735812.0,756737.0
Jul,2022,    Indonesia,165185.0,157162.0
Jul,2022,    Malaysia,184623.0,199936.0
Jul,2022,    Philippines,102151.0,102796.0
Jul,2022,    Thailand,157474.0,154381.0
Jul,2022,    Vietnam,90027.0,100436.0
Jul,2022,  North East Asia,103610.0,138603.0
Jul,2022,    Mainland China,6408.0,14431.0
Jul,2022,    Hong Kong,8674.0,19371.0
Jul,2022,    Japan,32328.0,36276.0
Jul,2022,  South Asia,188224.0,228881.0
Jul,2022,  Middle East,56495.0,65591.0
Jul,2022,  Oceania,263543.0,236803.0
Jul,2022,  Europe,175112.0,183729.0
Jul,2022,    France,16962.0,18479.0
Jul,2022,    Germany,40266.0,41677.0
Jul,2022,    United Kingdom,46863.0,51459.0
Jul,2022,  North America,56899.0,53690.0
Jul,2022,  Other Regions,7534.0,7521.0
Jun,2022,  South East Asia,670359.0,676073.0
Jun,2022,    Indonesia,149084.0,147532.0
Jun,2022,    Malaysia,177415.0,183269.0
Jun,2022,    Philippines,92026.0,90171.0
Jun,2022,    Thailand,139171.0,132875.0
Jun,2022,    Vietnam,80763.0,85804.0
Jun,2022,  North East Asia,89873.0,100397.0
Jun,2022,    Mainland China,6912.0,10654.0
Jun,2022,    Hong Kong,6658.0,15115.0
Jun,2022,    Japan,30880.0,27006.0
Jun,2022,  South Asia,201134.0,206325.0
