Month,Year,Country,Departures,Arrivals,Total Holidays,Inflation,Month_sin,Month_cos,Total_Traffic
9,2000,Thailand,97160.0,103536.0,-1.0146143802318799,-0.3104027537573375,-1.0,-1.8369701987210297e-16,200696.0
9,2000,Philippines,27437.0,28194.0,-1.0146143802318799,1.2386288096086366,-1.0,-1.8369701987210297e-16,55631.0
9,2000,Malaysia,133081.0,136372.0,-1.0146143802318799,-0.34267424466079527,-1.0,-1.8369701987210297e-16,269453.0
9,2000,Indonesia,124164.0,126821.0,-1.0146143802318799,0.33502706431181845,-1.0,-1.8369701987210297e-16,250985.0
9,2000,South East Asia,409103.0,423607.0,-1.0146143802318799,0.33502706431181845,-1.0,-1.8369701987210297e-16,832710.0
10,2000,North America,26816.0,29108.0,0.00020431219899957198,0.33502706431181845,-0.8660254037844386,0.5000000000000001,55924.0
10,2000,United Kingdom,48898.0,69349.0,0.00020431219899957198,-0.6008461718884577,-0.8660254037844386,0.5000000000000001,118247.0
10,2000,Germany,25077.0,30549.0,0.00020431219899957198,-0.4072172264677109,-0.8660254037844386,0.5000000000000001,55626.0
10,2000,France,10755.0,14131.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844386,0.5000000000000001,24886.0
10,2000,Europe,129325.0,167069.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844386,0.5000000000000001,296394.0
10,2000,Oceania,176810.0,135752.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844386,0.5000000000000001,312562.0
10,2000,Middle East,11429.0,12264.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844386,0.5000000000000001,23693.0
10,2000,South Asia,82797.0,75816.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844386,0.5000000000000001,158613.0
10,2000,Japan,85575.0,89552.0,0.00020431219899957198,-1.0849185354403246,-0.8660254037844386,0.5000000000000001,175127.0
10,2000,Hong Kong,77626.0,78192.0,0.00020431219899957198,-1.0849185354403246,-0.8660254037844386,0.5000000000000001,155818.0
10,2000,Mainland China,55230.0,54012.0,0.00020431219899957198,-1.0849185354403246,-0.8660254037844386,0.5000000000000001,109242.0
10,2000,North East Asia,277924.0,277854.0,0.00020431219899957198,-1.0849185354403246,-0.8660254037844386,0.5000000000000001,555778.0
10,2000,Vietnam,11808.0,12462.0,0.00020431219899957198,-1.4399049353783602,-0.8660254037844386,0.5000000000000001,24270.0
10,2000,Thailand,100087.0,109595.0,0.00020431219899957198,-0.3104027537573375,-0.8660254037844386,0.5000000000000001,209682.0
10,2000,Philippines,29311.0,29193.0,0.00020431219899957198,1.2386288096086366,-0.8660254037844386,0.5000000000000001,58504.0
10,2000,Indonesia,125366.0,124236.0,0.00020431219899957198,0.33502706431181845,-0.8660254037844386,0.5000000000000001,249602.0
10,2000,South East Asia,409200.0,430602.0,0.00020431219899957198,0.33502706431181845,-0.8660254037844386,0.5000000000000001,839802.0
10,2000,Malaysia,126511.0,139806.0,0.00020431219899957198,-0.34267424466079527,-0.8660254037844386,0.5000000000000001,266317.0
11,2000,Thailand,117360.0,119924.0,-1.0146143802318799,-0.3104027537573375,-0.5000000000000004,0.8660254037844384,237284.0
11,2000,Philippines,30280.0,26806.0,-1.0146143802318799,1.2386288096086366,-0.5000000000000004,0.8660254037844384,57086.0
11,2000,Malaysia,132435.0,141943.0,-1.0146143802318799,-0.34267424466079527,-0.5000000000000004,0.8660254037844384,274378.0
11,2000,Indonesia,128657.0,114142.0,-1.0146143802318799,0.33502706431181845,-0.5000000000000004,0.8660254037844384,242799.0
11,2000,South East Asia,440661.0,433948.0,-1.0146143802318799,0.33502706431181845,-0.5000000000000004,0.8660254037844384,874609.0
11,2000,Vietnam,13747.0,12887.0,-1.0146143802318799,-1.4399049353783602,-0.5000000000000004,0.8660254037844384,26634.0
11,2000,North East Asia,288166.0,275317.0,-1.0146143802318799,-1.4399049353783602,-0.5000000000000004,0.8660254037844384,563483.0
11,2000,Mainland China,52636.0,50383.0,-1.0146143802318799,-1.4399049353783602,-0.5000000000000004,0.8660254037844384,103019.0
11,2000,Hong Kong,82579.0,80740.0,-1.0146143802318799,-1.4399049353783602,-0.5000000000000004,0.8660254037844384,163319.0
11,2000,North America,30583.0,27443.0,-1.0146143802318799,-1.4399049353783602,-0.5000000000000004,0.8660254037844384,58026.0
11,2000,United Kingdom,52629.0,59086.0,-1.0146143802318799,-0.6008461718884577,-0.5000000000000004,0.8660254037844384,111715.0
11,2000,Germany,25182.0,25609.0,-1.0146143802318799,-0.4072172264677109,-0.5000000000000004,0.8660254037844384,50791.0
11,2000,France,11848.0,11317.0,-1.0146143802318799,-0.2781312628538797,-0.5000000000000004,0.8660254037844384,23165.0
11,2000,Europe,129048.0,133291.0,-1.0146143802318799,-0.2781312628538797,-0.5000000000000004,0.8660254037844384,262339.0
11,2000,Oceania,165206.0,160483.0,-1.0146143802318799,-0.2781312628538797,-0.5000000000000004,0.8660254037844384,325689.0
11,2000,Middle East,13481.0,12692.0,-1.0146143802318799,-0.2781312628538797,-0.5000000000000004,0.8660254037844384,26173.0
11,2000,South Asia,88724.0,77593.0,-1.0146143802318799,-0.2781312628538797,-0.5000000000000004,0.8660254037844384,166317.0
11,2000,Japan,89348.0,90741.0,-1.0146143802318799,-1.0849185354403246,-0.5000000000000004,0.8660254037844384,180089.0
12,2000,North America,33753.0,33699.0,0.00020431219899957198,-1.0849185354403246,-2.4492935982947064e-16,1.0,67452.0
12,2000,United Kingdom,53100.0,68296.0,0.00020431219899957198,-0.6008461718884577,-2.4492935982947064e-16,1.0,121396.0
12,2000,Germany,22220.0,24673.0,0.00020431219899957198,-0.4072172264677109,-2.4492935982947064e-16,1.0,46893.0
12,2000,France,11559.0,12285.0,0.00020431219899957198,-0.2781312628538797,-2.4492935982947064e-16,1.0,23844.0
12,2000,Europe,126189.0,142190.0,0.00020431219899957198,-0.2781312628538797,-2.4492935982947064e-16,1.0,268379.0
12,2000,Oceania,180939.0,191622.0,0.00020431219899957198,-0.2781312628538797,-2.4492935982947064e-16,1.0,372561.0
12,2000,Middle East,11538.0,16024.0,0.00020431219899957198,-0.2781312628538797,-2.4492935982947064e-16,1.0,27562.0
12,2000,South Asia,92860.0,83159.0,0.00020431219899957198,-0.2781312628538797,-2.4492935982947064e-16,1.0,176019.0
12,2000,Japan,84459.0,98011.0,0.00020431219899957198,-1.0849185354403246,-2.4492935982947064e-16,1.0,182470.0
12,2000,Hong Kong,91392.0,99420.0,0.00020431219899957198,-1.0849185354403246,-2.4492935982947064e-16,1.0,190812.0
12,2000,Mainland China,55686.0,60253.0,0.00020431219899957198,-1.0849185354403246,-2.4492935982947064e-16,1.0,115939.0
12,2000,North East Asia,299980.0,321552.0,0.00020431219899957198,-1.0849185354403246,-2.4492935982947064e-16,1.0,621532.0
